number,species,wing,weight
8  ,  RT  ,  375  ,  855
9  ,  RT  ,  412  ,  1210
13  ,  RT  ,  390  ,  1120
16  ,  RT  ,  436  ,  1390
18  ,  RT  ,  381  ,  950
24  ,  RT  ,  392  ,  1330
28  ,  RT  ,  401  ,  1190
31  ,  RT  ,  395  ,  1040
33  ,  RT  ,  396  ,  1030
34  ,  RT  ,  391  ,  1300
35  ,  RT  ,  413  ,  1500
36  ,  RT  ,  371  ,  1080
37  ,  RT  ,  385  ,  1320
38  ,  RT  ,  378  ,  1490
39  ,  RT  ,  416  ,  1500
57  ,  CH  ,  240  ,  340
68  ,  SS  ,  176  ,  100
70  ,  RT  ,  390  ,  1080
71  ,  RT  ,  391  ,  1130
72  ,  RT  ,  387  ,  1160
74  ,  RT  ,  435  ,  1385
75  ,  RT  ,  400  ,  1210
86  ,  CH  ,  233  ,  340
94  ,  RT  ,  416  ,  1390
98  ,  SS  ,  208  ,  168
103  ,  SS  ,  198  ,  188
122  ,  SS  ,  177  ,  97
125  ,  SS  ,  170  ,  93
143  ,  SS  ,  202  ,  195
159  ,  RT  ,  390  ,  1060
166  ,  RT  ,  398  ,  1095
169  ,  RT  ,  394  ,  1075
170  ,  SS  ,  204  ,  180
188  ,  CH  ,  239  ,  183
190  ,  RT  ,  377  ,  1055
191  ,  RT  ,  432  ,  1670
199  ,  RT  ,  386  ,  1050
203  ,  RT  ,  374  ,  1010
210  ,  RT  ,  375  ,  1110
221  ,  CH  ,  236  ,  390
224  ,  RT  ,  350  ,  940
237  ,  RT  ,  365  ,  1120
238  ,  RT  ,  345  ,  1000
250  ,  RT  ,  380  ,  1040
256  ,  RT  ,  384  ,  910
268  ,  SS  ,  171  ,  90
269  ,  RT  ,  420  ,  1280
275  ,  RT  ,  410  ,  1000
278  ,  RT  ,  382  ,  1020
285  ,  RT  ,  390  ,  1050
288  ,  CH  ,  247  ,  375
289  ,  RT  ,  415  ,  1175
291  ,  RT  ,  417  ,  1260
293  ,  RT  ,  412  ,  1330
294  ,  RT  ,  377  ,  980
316  ,  SS  ,  198  ,  158
322  ,  CH  ,  377  ,  1119
332  ,  RT  ,  368  ,  1244
352  ,  SS  ,  170  ,  177
356  ,  RT  ,  375  ,  1159
358  ,  CH  ,  213  ,  339
359  ,  RT  ,  382  ,  1403
361  ,  RT  ,  478  ,  1473
365  ,  RT  ,  386  ,  1059
372  ,  RT  ,  374  ,  1064
383  ,  SS  ,  205  ,  156
386  ,  SS  ,  165  ,  96
393  ,  CH  ,  243  ,  334
395  ,  SS  ,  210  ,  181
396  ,  RT  ,  425  ,  1449
398  ,  RT  ,  480  ,  1598
401  ,  RT  ,  381  ,  1354
402  ,  RT  ,  392  ,  969
404  ,  SS  ,  196  ,  185
405  ,  RT  ,  391  ,  1097
406  ,  RT  ,  397  ,  1439
409  ,  RT  ,  410  ,  1239
424  ,  CH  ,  225  ,  340
431  ,  SS  ,  202  ,  180
436  ,  RT  ,  398  ,  1310
438  ,  RT  ,  367  ,  1060
439  ,  SS  ,  193  ,  165
440  ,  RT  ,  375  ,  960
442  ,  CH  ,  252  ,  540
443  ,  CH  ,  237  ,  365
445  ,  CH  ,  268  ,  590
447  ,  SS  ,  200  ,  175
449  ,  SS  ,  167  ,  100
451  ,  SS  ,  162  ,  110
454  ,  SS  ,  199  ,  165
458  ,  SS  ,  199  ,  200
459  ,  CH  ,  254  ,  505
460  ,  RT  ,  382  ,  1040
461  ,  SS  ,  196  ,  155
468  ,  RT  ,  393  ,  1385
474  ,  RT  ,  410  ,  1460
476  ,  RT  ,  410  ,  1585
477  ,  SS  ,  194  ,  185
480  ,  RT  ,  404  ,  1315
486  ,  SS  ,  205  ,  175
487  ,  RT  ,  377  ,  1010
490  ,  RT  ,  404  ,  280
493  ,  SS  ,  175  ,  107
494  ,  RT  ,  372  ,  909
507  ,  RT  ,  331  ,  1055
511  ,  CH  ,  268  ,  56
513  ,  SS  ,  191  ,  175
514  ,  RT  ,  358  ,  1025
516  ,  SS  ,  188  ,  175
518  ,  SS  ,  196  ,  180
519  ,  SS  ,  190  ,  175
521  ,  CH  ,  145  ,  320
539  ,  RT  ,  425  ,  1120
545  ,  SS  ,  170  ,  100
546  ,  SS  ,  203  ,  180
547  ,  RT  ,  370  ,  955
548  ,  RT  ,  408  ,  1225
549  ,  RT  ,  393  ,  1400
557  ,  SS  ,  194  ,  175
562  ,  SS  ,  165  ,  105
563  ,  SS  ,  155  ,  100
565  ,  SS  ,  161  ,  105
568  ,  SS  ,  195  ,  200
569  ,  SS  ,  196  ,  200
570  ,  SS  ,  169  ,  100
575  ,  SS  ,  165  ,  95
577  ,  CH  ,  266  ,  535
580  ,  SS  ,  166  ,  120
583  ,  SS  ,  170  ,  110
584  ,  RT  ,  373  ,  1270
588  ,  CH  ,  261  ,  505
593  ,  RT  ,  383  ,  1055
597  ,  RT  ,  402  ,  1335
600  ,  RT  ,  378  ,  1090
602  ,  RT  ,  378  ,  1090
603  ,  RT  ,  262  ,  1020
605  ,  RT  ,  379  ,  1000
607  ,  RT  ,  380  ,  1045
609  ,  RT  ,  389  ,  1135
