number,species,age,sex,wing,weight
rownames , Species , Age , Sex , Wing , Weight
1 , RT , I ,  , 385 , 920
2 , RT , I ,  , 376 , 930
3 , RT , I ,  , 381 , 990
4 , CH , I , F , 265 , 470
5 , SS , I , F , 205 , 170
6 , RT , I ,  , 412 , 1090
7 , RT , I ,  , 370 , 960
8 , RT , A ,  , 375 , 855
9 , RT , A ,  , 412 , 1210
10 , RT , I ,  , 405 , 1120
11 , RT , I ,  , 393 , 1010
12 , RT , I ,  , 371 , 1010
13 , RT , A ,  , 390 , 1120
14 , RT , A ,  , 393 , 
15 , RT , I ,  , 416 , 1170
16 , RT , A ,  , 436 , 1390
17 , RT , I ,  , 418 , 1150
18 , RT , A ,  , 381 , 950
19 , RT , I ,  , 378 , 910
20 , RT , I ,  , 396 , 1010
21 , RT , I ,  , 399 , 1070
22 , RT , I ,  , 416 , 1190
23 , RT , I ,  , 415 , 101
24 , RT , A ,  , 392 , 1330
25 , RT , I ,  , 380 , 990
26 , SS , I , M , 173 , 100
27 , RT , I ,  , 399 , 1100
28 , RT , A ,  , 401 , 1190
29 , SS , I , F , 205 , 180
30 , RT , I ,  , 427 , 1490
31 , RT , A ,  , 395 , 1040
32 , RT , I ,  , 362 , 820
33 , RT , A ,  , 396 , 1030
34 , RT , A ,  , 391 , 1300
35 , RT , A ,  , 413 , 1500
36 , RT , A ,  , 371 , 1080
37 , RT , A ,  , 385 , 1320
38 , RT , A ,  , 378 , 1490
39 , RT , A ,  , 416 , 1500
40 , SS , I , M , 193 , 100
41 , SS , I , M , 171 , 88
42 , CH , I ,  , 233 , 324
43 , RT , I ,  , 384 , 1060
44 , RT , I ,  , 382 , 1140
45 , RT , I ,  , 390 , 1030
46 , RT , I ,  , 390 , 1000
47 , RT , I ,  , 393 , 1050
48 , RT , I ,  , 378 , 1040
49 , RT , I ,  , 398 , 1110
50 , RT , I ,  , 412 , 1300
51 , RT , I ,  , 400 , 980
52 , RT , I ,  , 422 , 1120
53 , SS , I , F , 202 , 134
54 , RT , I ,  , 394 , 1270
55 , RT , I ,  , 369 , 880
56 , CH , I , F , 252 , 340
57 , CH , A , M , 240 , 340
58 , RT , I ,  , 410 , 1255
59 , RT , I ,  , 241 , 1320
60 , RT , I ,  , 408 , 1320
61 , RT , I ,  , 37.2 , 1180
62 , RT , I ,  , 380 , 760
63 , RT , I ,  , 396 , 1250
64 , RT , I ,  , 326 , 
65 , SS , I , M , 158 , 100
66 , RT , I ,  , 416 , 1300
67 , CH , I , F , 271 , 475
68 , SS , A , M , 176 , 100
69 , SS , A , F , 194 , 
70 , RT , A ,  , 390 , 1080
71 , RT , A ,  , 391 , 1130
72 , RT , A ,  , 387 , 1160
73 , RT , I ,  , 420 , 1345
74 , RT , A ,  , 435 , 1385
75 , RT , A ,  , 400 , 1210
76 , RT , I ,  , 398 , 1455
77 , RT , I ,  , 395 , 1180
78 , RT , I ,  , 410 , 1500
79 , RT , I ,  , 369 , 1025
80 , RT , I ,  , 372 , 930
81 , RT , I ,  , 415 , 1360
82 , RT , I ,  , 412 , 1255
83 , SS , I , F , 205 , 194
84 , SS , I , F , 204 , 159
85 , SS , I , M , 170 , 90
86 , CH , A , M , 233 , 340
87 , RT , I ,  , 375 , 1065
88 , RT , I ,  , 385 , 1125
89 , RT , I ,  , 422 , 1340
90 , RT , I ,  , 391 , 1050
91 , RT , I ,  , 410 , 1210
92 , RT , I ,  , 385 , 980
93 , RT , I ,  , 381 , 1000
94 , RT , A ,  , 416 , 1390
95 , RT , I ,  , 406 , 1275
96 , RT , I ,  , 418 , 1180
97 , RT , I ,  , 412 , 1210
98 , SS , A , F , 208 , 168
99 , SS , I , F , 208 , 146
100 , SS , I , M , 175 , 108
101 , SS , I , M , 166 , 94
102 , RT , I ,  , 405 , 1085
103 , SS , A , F , 198 , 188
104 , SS , I , F , 200 , 154
105 , RT , I ,  , 380 , 810
106 , RT , I ,  , 381 , 905
107 , SS , I , M , 169 , 94
108 , CH , I , F , 260 , 420
109 , RT , I ,  , 428 , 1240
110 , RT , I ,  , 400 , 990
111 , CH , I , F , 265 , 365
112 , SS , I , M , 177 , 91
113 , RT , I ,  , 381 , 1010
114 , RT , I ,  , 403 , 980
115 , RT , I ,  , 382 , 860
116 , RT , I ,  , 382 , 970
117 , RT , I ,  , 399 , 980
118 , RT , I ,  , 380 , 985
119 , RT , I ,  , 375 , 990
120 , RT , I ,  , 420 , 1210
121 , SS , I , M , 170 , 89
122 , SS , A , M , 177 , 97
123 , RT , I ,  , 375 , 990
124 , RT , I ,  , 395 , 1170
125 , SS , A , M , 170 , 93
126 , RT , I ,  , 406 , 1350
127 , RT , I ,  , 414 , 1370
128 , SS , I , M , 173 , 103
129 , SS , I , F , 209 , 151
130 , SS , I , M , 177 , 101
131 , RT , I ,  , 388 , 985
